職種区分,項目ID,評価項目名,重要度ウェイト
幹部,admin_09,介護保険制度、地域社会、競合他社など外部環境の変化を的確に分析し、将来を見据えた戦略立案に貢献している。,1
幹部,admin_10,利用者のニーズや社会情勢の変化を捉え、新たな事業やサービスの企画・提案を積極的に行っている。,1
幹部,admin_11,行政、医療機関、地域住民、他事業所等と良好な関係を構築・維持し、連携強化に努めている。,1
幹部,admin_12,施設の魅力を積極的に発信し、地域の信頼と理解を得るための広報・ブランディング活動を推進している。,1
幹部,admin_13,介護保険法、労働基準法など関係法令や内部規定を深く理解し、遵守を徹底している。,1
幹部,admin_14,利用者・職員の人権を最大限に尊重し、差別やハラスメントの防止、適切な苦情対応に努めている。,1
幹部,admin_15,個人情報保護の重要性を認識し、情報管理体制の徹底とリスク対策を講じている。,1
幹部,admin_16,多角的な情報に基づき、論理的かつ迅速に判断し、適切な意思決定を行っている。,1
幹部,admin_17,予期せぬ困難な問題や複雑な事案に対し、冷静沈着に対処し、粘り強く解決に導いている。,1
幹部,admin_18,環境や状況の変化に対し、柔軟かつ迅速に適応し、新たな課題にも積極的に取り組んでいる。,1
幹部,admin_19,自身の役割に求められる専門知識・スキルを継続的に習得し、自己成長に努めている。,1
幹部,admin_20,自身の心身の健康状態を適切に管理し、ストレスをコントロールしながら業務を遂行している。,1
支援,support_01,利用者の個性・ニーズ・強みを深く理解し、個別支援計画に沿った最適な支援を提供している。,1
支援,support_02,安全・安楽な介護・介助技術を習得し、状況に応じて適切に実践している。,1
支援,support_03,利用者の体調変化やリスクを早期に察知し、迅速かつ適切に対応している。,1
支援,support_04,利用者の興味関心を引き出し、意欲向上に繋がる活動を積極的に企画・提供し、参加を促している。,1
支援,support_05,支援内容や利用者の変化を正確かつ迅速に記録し、関係者と適切に情報共有している。,1
支援,support_06,利用者の思いや訴えを傾聴し、共感的な姿勢で信頼関係を構築している。,1
支援,support_07,利用者の理解度に合わせて分かりやすく、かつ尊重を込めた言葉遣いや態度で接している。,1
支援,support_08,他の職員や多職種と積極的に連携し、円滑な情報共有と協働を通じてチームの目標達成に貢献している。,1
支援,support_09,保護者や関係機関に対し、誠実かつ丁寧に対応し、良好な関係を構築・維持している。,1
支援,support_10,業務上の重要な事項を速やかに報告・連絡・相談し、問題解決に努めている。,1
支援,support_11,業務上の課題や非効率な点、改善できる機会を自ら発見している。,1
支援,support_12,発見した課題に対し、主体的に解決策を検討・提案し、実行に移している。,1
支援,support_13,自身の支援や業務を定期的に振り返り、反省点や成功体験から学び、次へと活かしている。,1
支援,support_14,チームや施設全体の業務改善に対し、積極的に意見を出し、貢献している。,1
支援,support_15,自身の役割と責任を自覚し、任された業務を最後まで責任を持って遂行している。,1
支援,support_16,指示を待つだけでなく、自ら考えて行動し、周囲に良い影響を与えている。,1
支援,support_17,法人の理念を深く理解し、日々の支援や業務においてその実現に努めている。,1
支援,support_18,専門知識・技術の習得に意欲的に取り組み、自己の成長に努めている。,1
支援,support_19,研修や情報収集を通じて、新しい知識や技術を積極的に吸収し、支援に活かしている。,1
支援,support_20,専門職としての高い倫理観を持ち、関係法令・規則を遵守した行動をとっている。,1
新任,new_01,指示内容を正確に理解し、疑問点は確認しながら、確実かつ安全に業務を遂行している。,1
新任,new_02,利用者に対し、明るく丁寧な挨拶を心がけ、適切な言葉遣いや態度で接している。,1
新任,new_03,基本的な身体介助（移動・排泄・食事等）について、指導を受けながら実践しようと努めている。,1
新任,new_04,清掃、消毒、整理整頓など、清潔で安全な環境維持に貢献している。,1
新任,new_05,業務日誌や簡単な記録を、正確かつタイムリーに行おうと努力している。,1
新任,new_06,業務上の疑問点や問題、進捗状況などを、適切なタイミングで上司や先輩に報告・連絡・相談している。,1
新任,new_07,上司や先輩、同僚のアドバイスを素直に傾聴し、自身の行動に活かそうとしている。,1
新任,new_08,チームの一員として、積極的に周囲と協力し、円滑な人間関係を築こうと努力している。,1
新任,new_09,明るくはっきりとした挨拶や返事ができ、基本的な社会人マナーを身につけようとしている。,1
新任,new_10,指導や助けに対して、感謝の気持ちを適切に表現している。,1
新任,new_11,業務に必要な知識やスキルを、自ら積極的に学び習得しようと努めている。,1
新任,new_12,指導やフィードバックの内容を理解し、改善点として真摯に受け止め、次へと活かしている。,1
新任,new_13,不明な点や不安な点は、放置せず積極的に質問し、理解を深めようとしている。,1
新任,new_14,自身の業務や施設の活動に対し、より良い方法がないか関心を持ち、学ぶ姿勢がある。,1
新任,new_15,新しい業務や役割に、前向きな姿勢で挑戦しようとしている。,1
新任,new_16,自身の担当業務の優先順位を理解し、定められた時間内で計画的に遂行しようと努めている。,1
新任,new_17,施設のルールや勤務規定、守秘義務などを理解し、遵守しようと努めている。,1
新任,new_18,事故やトラブルに繋がる可能性のある危険を察知し、速やかに報告・確認している。,1
新任,new_19,緊急時の対応マニュアルや避難経路などを理解し、冷静に行動しようと努めている。,1
新任,new_20,利用者一人ひとりの尊厳を尊重し、プライバシー保護に配慮した行動をとっている。,1
栄養,nutrition_01,食材の適切な保管、調理器具・設備の洗浄・消毒を徹底し、食中毒予防に努めている。,1
栄養,nutrition_02,ユニフォーム着用、手洗い、マスク着用など、徹底した個人衛生管理を行っている。,1
栄養,nutrition_03,調理過程や配膳時の温度管理、検食を正確に実施し、記録している。,1
栄養,nutrition_04,調理機器の安全な操作、転倒防止など、厨房内の危険を予知し、安全に配慮した行動をとっている。,1
栄養,nutrition_05,食物アレルギーや誤嚥のリスクを正確に把握し、個別の配慮を徹底している。,1
栄養,nutrition_06,指示された調理手順を正確に理解し、効率的かつ安全に調理を行っている。,1
栄養,nutrition_07,献立に基づき、利用者に合わせた適切な味付けと、食欲をそそる盛り付けを心がけている。,1
栄養,nutrition_08,食材ごとの下処理や調理法を理解し、素材の味や栄養を最大限に引き出している。,1
栄養,nutrition_09,新しい調理法や献立にも意欲的に取り組み、改善提案を行っている。,1
栄養,nutrition_10,食材の無駄をなくし、コスト削減に貢献するため、適切に管理・利用している。,1
栄養,nutrition_11,献立の栄養バランスを理解し、提供する食事を通じて利用者の健康維持に貢献している。,1
栄養,nutrition_12,嚥下状態、嗜好、宗教・文化などの個別ニーズを理解し、可能な範囲で対応している。,1
栄養,nutrition_13,定められた時間内に、温かいものは温かく、冷たいものは冷たい状態で食事を提供している。,1
栄養,nutrition_14,厨房内の問題、食材の在庫、利用者の食事に関する特記事項などを適切に報告・連絡・相談している。,1
栄養,nutrition_15,厨房内の他の職員と積極的に協力し、円滑な業務遂行と良好なチームワークを築いている。,1
栄養,nutrition_16,支援員や看護師など、他部署からの食事に関する要望・情報に耳を傾け、連携して対応している。,1
栄養,nutrition_17,自身の担当業務を効率的に計画し、時間管理を行いながら遂行している。,1
栄養,nutrition_18,厨房業務の効率化や質の向上につながる改善点を常に探し、提案している。,1
栄養,nutrition_19,食事提供に関する新しい知識（栄養学、衛生管理など）や調理技術を積極的に学び、自身の専門性向上に努めている。,1
